Application ID,Application Name,Module ID,Module Name,Functionaliyt ID,Functionality Name,Release ID,Release Name,Defect ID,Type of Defect,Defect Reason,Defect Description,Severity ,RCA,Release Date,Defect Creation Date,Defect Fix Date,Complexity,Business Impact,Hotspot,Latest_Func_Rel
1220,MERLIN,M12,Merlin vs Seqel,229,Merlin vs Seqel Breach Excel,1,RTI100,1000,Data,Environment,Merlin vs Seqel Breach Excel has faulty operations which is missing in excel,LOW,Code was corrected after confirming the changes with developer,1/1/2019,1/28/2019,2/17/2019,3.6,2,1,0
1220,MERLIN,M12,Merlin vs Seqel,229,Merlin vs Seqel Breach Excel,1,RTI100,1001,UI,Code,Merlin vs Seqel Breach Excel is not downloading for database which is missing in excel,LOW,New requirements were added to the project afer confirming with Client,1/1/2019,1/16/2019,1/27/2019,3.6,2,1,0
1220,MERLIN,M12,Merlin vs Seqel,229,Merlin vs Seqel Breach Excel,1,RTI100,1002,Data,Design,Merlin vs Seqel Breach Excel shows incorrect code and filters are faulty,LOW,Data in the table - RECON_SAMPLE corrected after confirming with BA,1/1/2019,1/13/2019,2/14/2019,3.6,2,1,0
1220,MERLIN,M12,Merlin vs Seqel,229,Merlin vs Seqel Breach Excel,1,RTI100,1003,Business Logic,Design,Merlin vs Seqel Breach Excel has defect in documentation which is missing in UI,LOW,New files created for handling new data coming into the database,1/1/2019,2/16/2019,3/21/2019,3.6,2,1,0
1220,MERLIN,M12,Merlin vs Seqel,229,Merlin vs Seqel Breach Excel,1,RTI100,1004,UI,Data,Merlin vs Seqel Breach Excel is not downloading for testing modules which is incorrect,LOW,Data format was changed to fetch the data using code from the database,1/1/2019,1/14/2019,2/26/2019,3.6,2,1,0
1220,MERLIN,M12,Merlin vs Seqel,169,Merlin vs Seqel Tree,1,RTI100,1005,Data,Requirements,Merlin vs Seqel Tree shows incorrect analytics and filters are faulty,MEDIUM,Data in the table - RECON_SAMPLE corrected after confirming with BA,1/1/2019,1/12/2019,2/24/2019,2.75,3,1,0
1220,MERLIN,M12,Merlin vs Seqel,169,Merlin vs Seqel Tree,1,RTI100,1006,UI,Third Party,Merlin vs Seqel Tree has defect in technical which is missing in UI,MEDIUM,New files created for handling new data coming into the database,1/1/2019,2/27/2019,3/11/2019,2.75,3,1,0
1220,MERLIN,M13,TTS,172,TTS Feed Processing & loading into DB,1,RTI100,1007,Business Logic,Data,TTS Feed Processing & loading into DB has faulty KPI which is missing in UI,HIGH,Validation of data corrected with new requirements added to the project,1/1/2019,1/7/2019,1/28/2019,4.2,1,0,0
1220,MERLIN,M13,TTS,172,TTS Feed Processing & loading into DB,1,RTI100,1008,Business Logic,Code,TTS Feed Processing & loading into DB shows incorrect inventory and filters are applied with default values,HIGH,New requirements were added to the project afer confirming with Client,1/1/2019,2/6/2019,3/4/2019,4.2,1,0,0
1220,MERLIN,M13,TTS,172,TTS Feed Processing & loading into DB,1,RTI100,1009,Data,Environment,TTS Feed Processing & loading into DB shows incorrect documentation and does not work,HIGH,Code was corrected after confirming the changes with developer,1/1/2019,2/2/2019,2/5/2019,4.2,1,0,0
1220,MERLIN,M13,TTS,172,TTS Feed Processing & loading into DB,1,RTI100,1010,UI,Third Party,TTS Feed Processing & loading into DB has functionality operations and filters are applied with default values,HIGH,Data in the table - RECON_SAMPLE corrected after confirming with BA,1/1/2019,1/19/2019,1/20/2019,4.2,1,0,0
1220,MERLIN,M13,TTS,172,TTS Feed Processing & loading into DB,1,RTI100,1011,UI,Data,TTS Feed Processing & loading into DB has faulty analytical part and filters are applied with default values,HIGH,Data format was changed to fetch the data using code from the database,1/1/2019,1/16/2019,1/19/2019,4.2,1,0,0
1220,MERLIN,M13,TTS,172,TTS Feed Processing & loading into DB,1,RTI100,1012,UI,Requirements,TTS Feed Processing & loading into DB does not show the variance explanation in software regulations and does not work,HIGH,Code was modified by adding new dependencies,1/1/2019,2/11/2019,3/20/2019,4.2,1,0,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1013,Data,Data,Skiee vs Seq Breach Excel does not show the variance explanation in technical which is missing in excel,MEDIUM,Data in the table - RECON_SAMPLE corrected after confirming with BA,1/1/2019,1/9/2019,1/20/2019,3.2,2,1,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1014,Data,Code,Skiee vs Seq Breach Excel is not downloading for engineering aspect which is not downloading,MEDIUM,Issues were fixed by making changes in the setup,1/1/2019,2/20/2019,4/18/2019,3.2,2,1,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1015,Business Logic,Third Party,Skiee vs Seq Breach Excel contains bug in RI Analysis which is missing in UI,MEDIUM,UI desgin was modified as per the requirements,1/1/2019,2/25/2019,3/3/2019,3.2,2,1,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1016,Data,Third Party,Skiee vs Seq Breach Excel has faulty process scheduling which is not downloading,MEDIUM,New files created for handling new data coming into the database,1/1/2019,1/24/2019,3/22/2019,3.2,2,1,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1017,UI,Code,Skiee vs Seq Breach Excel has faulty database construction which is missing in excel,MEDIUM,Data format was changed to fetch the data using code from the database,1/1/2019,2/26/2019,3/13/2019,3.2,2,1,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1018,Business Logic,Requirements,Skiee vs Seq Breach Excel has third party issues in environment and does not work,MEDIUM,UI desgin was modified as per the requirements,1/1/2019,1/14/2019,3/13/2019,3.2,2,1,0
1220,MERLIN,M14,Skiee vs Seq,181,Skiee vs Seq Breach Excel,1,RTI100,1019,Data,Code,Skiee vs Seq Breach Excel does not show the variance explanation in RI Analysis and does not work,MEDIUM,Validation of data corrected with new requirements added to the project,1/1/2019,2/23/2019,4/22/2019,3.2,2,1,0
